,Base Name
0,NY CAR & LIMO SERVICES INC.
1,R C AUDUBON SVC INC
2,DIPLO RAD DISP INC
3,"G.T.N.Y. CAR SERVICE, INC."
4,NEW SUPERIOR RADIO GRP CORP
5,GRAND TRANSPORTATION SERVICES INC
6,REPUBLICA CAR & LIMO SERVICE CORP.
7,UNION RADIO DISPATCH INC
8,BANGLA CAR & LIMO. SERVICE INC.
9,ALLTOWN LIMO CORP.
10,FIRST CLASS C/L SVC CORP
11,EAGER LIMO SERVICE INC.
12,JOY CAR SERVICES INC.
13,IVOIRE LIMO INC.
14,GRAND LIMO & CAR SERVICE INC.
15,PIA CAR LIMO. INC.
16,"LAPUMA TRANSPORTATION GROUP,LLC"
17,"ACCESS TRANSPORTATION GROUP, LLC"
18,ALL QUEENS CAR & LIMOUSINE INC.
19,RIVERSIDE RADIO DISPATCHER
20,NY ATLIXCO CAR SERVICE INC
21,PROFESSIONAL CAR SERVICE INC
22,CAIRO TRANSPORTATION INC
23,"TAP & RIDE,INC."
24,HIGH CLASS BRONX LIMO C/S CORP
25,JOY LUXURY INC
26,AMERICAN DREAM CAR SERVICE INC.
27,PREMIUM RADIO DISP & MULTI SVC
28,"NOVAK GLOBAL, INC."
29,LLAMA LIMO C/S CORP
30,KISS CAR SERVICE INC
31,"V.I.T. CAR SERVICE, INC."
32,KENNEDY RAD DISP INC
33,APOLLO RADIO DISPATCH INC.
34,MILKY WAY LIMO CORP
35,"COLUMBIA STREET LIMOUSINE SERVICE, INC."
36,ZYNC INC
37,WATSON CAR SERVICE INC.
38,PREMIUM BRONX CORP
39,SAETA CAR SERVICE INC.
40,CIBAO RADIO DISPATCH
41,SUPER CLASS RADIO DISP INC
42,EXIT CAR SERVICE INC.
43,R & N CAR SERVICE INC.
44,COOPERATIVA CLBNA DE CON INC
45,R TRANSPORT INC
46,EL BARRIO'S CAR SERVICE LLC
47,NEW HARLEM C/S INC
48,"FRIENDLY BEST-WAY TRANSPORTATION, INC."
49,MY STREET CAR & LIMO SVC INC.
50,EARLY BIRD CAR SERVICE INC
51,NEW PRONTO TRANSP INC
52,CAIRO LIMO SERVICE INC.
53,UNITED EXP C/L SVCE
54,CLEAN AIR CAR SERVICE AND PARKING CORP.
55,EILAT TRANSPORTATION CORP
56,THE EXCELLENT C/S INC
57,"DALLAS LIMO, INC"
58,YOURS CAR SERVICE INC
59,MALCOLM LIMO EXPRESS CORP.
60,SEAMAN RADIO DISPATCHERS INC
61,"KALIA & SONS LIMOUSINE, INC."
62,CHARGE AND RIDE INC
63,AFRO CAR SERVICE CORP
64,ROYAL CAR & LIMO SERVICE INC.
65,JPAN TRANSPORTATION INC
66,CLASSIC CAR SERVICE CORP.
67,X RADIO DISPATCHER INC.
68,CHAMPION CAR & LIMO SVC. INC.
69,NO BASE
70,FREEDOM LIMO & CAR SERVICE
71,3210 WEBSTER AV PRESTIGE C/S
72,GEORGE TOWN MANAGEMENT INC
73,CONTINENTAL C/L SVCE
74,HOYT LIMO & SVC CORP
75,AMK LUXURY CAR & LIMO INC.
76,HARLEM CARS INC.
77,THE NEW BROOKLYN C/S INC
78,YELLOWSTONE TRANSPORTATION INC.
79,
80,NEW DAYNIGHT CAR SVCE
81,GLS TRANS INC
82,GO CAR CORP.
83,"R N D TRANSPORTATION, INC."
84,NEW EXPERIENCE #1 INC
85,DREAMLAND CAR & LIMO.SVC INC.
86,"ECONOMY CAR SERVICE, LLC"
87,NEW MEXICANA CAR SERVICE II INC.
88,KOOP DISPATCHING INC.
89,BOERUM HILL CAR & LIMO SERVICE INC.
90,ABBA LOCAL TRANSPORTATION INC
